date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2016-01-04,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-05,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-06,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-07,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-08,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-11,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-12,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-13,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-14,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-15,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-18,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-19,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-20,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-21,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-22,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-25,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-26,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-27,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-28,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-01-29,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-02-01,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-02-02,0.0,1000000.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-02-03,0.0,670480.0,0.0,0.0,0.0,1.0,0.0,1000000.0,1.0,1000000
2016-02-04,-0.364,627775.94,-38912.06,-0.039,833280.0,1.0,-0.039,961087.94,0.961,1000000
2016-02-05,-0.397,624319.94,-5760.0,-0.006,827520.0,0.961,-0.045,955327.94,0.955,1000000
2016-02-15,-0.357,620683.94,-6060.0,-0.006,821460.0,0.955,-0.051,949267.94,0.949,1000000
2016-02-16,-0.208,634507.94,23040.0,0.024,844500.0,0.949,-0.028,972307.94,0.972,1000000
2016-02-17,-0.175,637027.94,4200.0,0.004,848700.0,0.972,-0.023,976507.94,0.977,1000000
2016-02-18,-0.163,637855.94,1380.0,0.001,850080.0,0.977,-0.022,977887.94,0.978,1000000
2016-02-19,-0.172,636739.94,-1860.0,-0.002,848220.0,0.978,-0.024,976027.94,0.976,1000000
2016-02-22,-0.07,645163.94,14040.0,0.014,862260.0,0.976,-0.01,990067.94,0.99,1000000
2016-02-23,-0.152,637495.94,-12780.0,-0.013,849480.0,0.99,-0.023,977287.94,0.977,1000000
2016-02-24,-0.132,639187.94,2820.0,0.003,852300.0,0.977,-0.02,980107.94,0.98,1000000
2016-02-25,-0.351,614563.94,-41040.0,-0.042,811260.0,0.98,-0.061,939067.94,0.939,1000000
