date,dividend_receivable,market_value,total_cash,total_value,transaction_cost
2016-01-04,0.0,99137.85,-4178.018,94959.832,83.276
2016-01-05,0.0,99750.0,-4178.018,95571.982,83.276
2016-01-06,0.0,100887.15,-4178.018,96709.132,83.276
2016-01-07,0.0,95725.35,-4178.018,91547.332,83.276
2016-01-08,0.0,97300.35,-4178.018,93122.332,83.276
2016-01-11,0.0,94150.35,-4178.018,89972.332,83.276
2016-01-12,0.0,94587.15,-4178.018,90409.132,83.276
2016-01-13,0.0,93712.5,-4178.018,89534.482,83.276
2016-01-14,0.0,94237.5,-4178.018,90059.482,83.276
2016-01-15,0.0,91525.35,-4178.018,87347.332,83.276
2016-01-18,0.0,91087.5,-4178.018,86909.482,83.276
2016-01-19,0.0,93712.5,-4178.018,89534.482,83.276
2016-01-20,0.0,92224.65,-4178.018,88046.632,83.276
2016-01-21,0.0,90300.0,-4178.018,86121.982,83.276
2016-01-22,0.0,91000.35,-4178.018,86822.332,83.276
2016-01-25,0.0,90737.85,-4178.018,86559.832,83.276
2016-01-26,0.0,86362.5,-4178.018,82184.482,83.276
2016-01-27,0.0,86449.65,-4178.018,82271.632,83.276
2016-01-28,0.0,84787.5,-4178.018,80609.482,83.276
2016-01-29,0.0,87499.65,-4178.018,83321.632,83.276
2016-02-01,0.0,85750.35,-4178.018,81572.332,83.276
2016-02-02,0.0,87062.85,-4178.018,82884.832,83.276
2016-02-03,0.0,86187.15,-4178.018,82009.132,83.276
2016-02-04,0.0,87062.85,-4178.018,82884.832,83.276
2016-02-05,0.0,86800.35,-4178.018,82622.332,83.276
2016-02-15,0.0,85662.15,-4178.018,81484.132,83.276
2016-02-16,0.0,87587.85,-4178.018,83409.832,83.276
2016-02-17,0.0,88812.15,-4178.018,84634.132,83.276
2016-02-18,0.0,88287.15,-4178.018,84109.132,83.276
2016-02-19,0.0,87850.35,-4178.018,83672.332,83.276
2016-02-22,0.0,90037.5,-4178.018,85859.482,83.276
2016-02-23,0.0,88548.6,-4178.018,84370.582,83.276
2016-02-24,0.0,88812.15,-4178.018,84634.132,83.276
2016-02-25,0.0,84611.1,-4178.018,80433.082,83.276
2016-02-26,0.0,85662.15,-4178.018,81484.132,83.276
2016-02-29,0.0,83650.35,-4178.018,79472.332,83.276
2016-03-01,0.0,84874.65,-4178.018,80696.632,83.276
2016-03-02,0.0,88375.35,-4178.018,84197.332,83.276
2016-03-03,0.0,88462.5,-4178.018,84284.482,83.276
2016-03-04,0.0,91000.35,-4178.018,86822.332,83.276
2016-03-07,0.0,90475.35,-4178.018,86297.332,83.276
2016-03-08,0.0,89950.35,-4178.018,85772.332,83.276
2016-03-09,0.0,88987.5,-4178.018,84809.482,83.276
2016-03-10,0.0,88812.15,-4178.018,84634.132,83.276
2016-03-11,0.0,88900.35,-4178.018,84722.332,83.276
2016-03-14,0.0,89775.0,-4178.018,85596.982,83.276
2016-03-15,0.0,90300.0,-4178.018,86121.982,83.276
2016-03-16,0.0,90562.5,-4178.018,86384.482,83.276
2016-03-17,0.0,91173.6,-4178.018,86995.582,83.276
2016-03-18,0.0,92224.65,-4178.018,88046.632,83.276
2016-03-21,0.0,94500.0,-4178.018,90321.982,83.276
2016-03-22,0.0,93798.6,-4178.018,89620.582,83.276
2016-03-23,0.0,93625.35,-4178.018,89447.332,83.276
2016-03-24,0.0,92050.35,-4178.018,87872.332,83.276
2016-03-25,0.0,92662.5,-4178.018,88484.482,83.276
2016-03-28,0.0,91699.65,-4178.018,87521.632,83.276
2016-03-29,0.0,91262.85,-4178.018,87084.832,83.276
2016-03-30,0.0,93625.35,-4178.018,89447.332,83.276
2016-03-31,0.0,93100.35,-4178.018,88922.332,83.276
2016-04-01,0.0,93274.65,-4178.018,89096.632,83.276
2016-04-05,0.0,93625.35,-4178.018,89447.332,83.276
