date,avg_price,last_price,market_value,order_book_id,quantity,sellable,symbol
2016-01-04,9.914,9.442,99137.85,000001.XSHE,10500,10500,平安银行
2016-01-05,9.914,9.5,99750.0,000001.XSHE,10500,10500,平安银行
2016-01-06,9.914,9.608,100887.15,000001.XSHE,10500,10500,平安银行
2016-01-07,9.914,9.117,95725.35,000001.XSHE,10500,10500,平安银行
2016-01-08,9.914,9.267,97300.35,000001.XSHE,10500,10500,平安银行
2016-01-11,9.914,8.967,94150.35,000001.XSHE,10500,10500,平安银行
2016-01-12,9.914,9.008,94587.15,000001.XSHE,10500,10500,平安银行
2016-01-13,9.914,8.925,93712.5,000001.XSHE,10500,10500,平安银行
2016-01-14,9.914,8.975,94237.5,000001.XSHE,10500,10500,平安银行
2016-01-15,9.914,8.717,91525.35,000001.XSHE,10500,10500,平安银行
2016-01-18,9.914,8.675,91087.5,000001.XSHE,10500,10500,平安银行
2016-01-19,9.914,8.925,93712.5,000001.XSHE,10500,10500,平安银行
2016-01-20,9.914,8.783,92224.65,000001.XSHE,10500,10500,平安银行
2016-01-21,9.914,8.6,90300.0,000001.XSHE,10500,10500,平安银行
2016-01-22,9.914,8.667,91000.35,000001.XSHE,10500,10500,平安银行
2016-01-25,9.914,8.642,90737.85,000001.XSHE,10500,10500,平安银行
2016-01-26,9.914,8.225,86362.5,000001.XSHE,10500,10500,平安银行
2016-01-27,9.914,8.233,86449.65,000001.XSHE,10500,10500,平安银行
2016-01-28,9.914,8.075,84787.5,000001.XSHE,10500,10500,平安银行
2016-01-29,9.914,8.333,87499.65,000001.XSHE,10500,10500,平安银行
2016-02-01,9.914,8.167,85750.35,000001.XSHE,10500,10500,平安银行
2016-02-02,9.914,8.292,87062.85,000001.XSHE,10500,10500,平安银行
2016-02-03,9.914,8.208,86187.15,000001.XSHE,10500,10500,平安银行
2016-02-04,9.914,8.292,87062.85,000001.XSHE,10500,10500,平安银行
2016-02-05,9.914,8.267,86800.35,000001.XSHE,10500,10500,平安银行
2016-02-15,9.914,8.158,85662.15,000001.XSHE,10500,10500,平安银行
2016-02-16,9.914,8.342,87587.85,000001.XSHE,10500,10500,平安银行
2016-02-17,9.914,8.458,88812.15,000001.XSHE,10500,10500,平安银行
2016-02-18,9.914,8.408,88287.15,000001.XSHE,10500,10500,平安银行
2016-02-19,9.914,8.367,87850.35,000001.XSHE,10500,10500,平安银行
2016-02-22,9.914,8.575,90037.5,000001.XSHE,10500,10500,平安银行
2016-02-23,9.914,8.433,88548.6,000001.XSHE,10500,10500,平安银行
2016-02-24,9.914,8.458,88812.15,000001.XSHE,10500,10500,平安银行
2016-02-25,9.914,8.058,84611.1,000001.XSHE,10500,10500,平安银行
2016-02-26,9.914,8.158,85662.15,000001.XSHE,10500,10500,平安银行
2016-02-29,9.914,7.967,83650.35,000001.XSHE,10500,10500,平安银行
2016-03-01,9.914,8.083,84874.65,000001.XSHE,10500,10500,平安银行
2016-03-02,9.914,8.417,88375.35,000001.XSHE,10500,10500,平安银行
2016-03-03,9.914,8.425,88462.5,000001.XSHE,10500,10500,平安银行
2016-03-04,9.914,8.667,91000.35,000001.XSHE,10500,10500,平安银行
2016-03-07,9.914,8.617,90475.35,000001.XSHE,10500,10500,平安银行
2016-03-08,9.914,8.567,89950.35,000001.XSHE,10500,10500,平安银行
2016-03-09,9.914,8.475,88987.5,000001.XSHE,10500,10500,平安银行
2016-03-10,9.914,8.458,88812.15,000001.XSHE,10500,10500,平安银行
