alpha,-0.121
annualized_returns,-0.073
benchmark_annualized_returns,-0.045
benchmark_total_returns,-0.045
beta,0.846
cash,-2839.268
downside_risk,0.078
end_date,2016-12-30
future_starting_cash,0
information_ratio,-0.306
max_drawdown,0.178
run_type,BACKTEST
securities,[u'stock']
sharpe,-0.408
sortino,-1.022
start_date,2016-01-04
stock_starting_cash,100000
strategy_file,/home/vinson/Downloads/InplusTrader-master/InplusTrader/stockBacktest/strategy/buy_and_hold.py
strategy_name,buy_and_hold
total_returns,-0.073
total_value,92710.732
tracking_error,0.102
unit_net_value,0.927
units,100000
volatility,0.196
