date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2016-01-04,-1.0,-4178.018,-5040.168,-0.05,99137.85,1.0,-0.05,94959.832,0.95,100000
2016-01-05,-1.0,-4178.018,612.15,0.006,99750.0,0.95,-0.044,95571.982,0.956,100000
2016-01-06,-0.983,-4178.018,1137.15,0.012,100887.15,0.956,-0.033,96709.132,0.967,100000
2016-01-07,-1.0,-4178.018,-5161.8,-0.053,95725.35,0.967,-0.085,91547.332,0.915,100000
2016-01-08,-0.994,-4178.018,1575.0,0.017,97300.35,0.915,-0.069,93122.332,0.931,100000
2016-01-11,-0.992,-4178.018,-3150.0,-0.034,94150.35,0.931,-0.1,89972.332,0.9,100000
2016-01-12,-0.983,-4178.018,436.8,0.005,94587.15,0.9,-0.096,90409.132,0.904,100000
2016-01-13,-0.982,-4178.018,-874.65,-0.01,93712.5,0.904,-0.105,89534.482,0.895,100000
2016-01-14,-0.969,-4178.018,525.0,0.006,94237.5,0.895,-0.099,90059.482,0.901,100000
2016-01-15,-0.984,-4178.018,-2712.15,-0.03,91525.35,0.901,-0.127,87347.332,0.873,100000
2016-01-18,-0.967,-4178.018,-437.85,-0.005,91087.5,0.873,-0.131,86909.482,0.869,100000
2016-01-19,-0.92,-4178.018,2625.0,0.03,93712.5,0.869,-0.105,89534.482,0.895,100000
2016-01-20,-0.935,-4178.018,-1487.85,-0.017,92224.65,0.895,-0.12,88046.632,0.88,100000
2016-01-21,-0.952,-4178.018,-1924.65,-0.022,90300.0,0.88,-0.139,86121.982,0.861,100000
2016-01-22,-0.934,-4178.018,700.35,0.008,91000.35,0.861,-0.132,86822.332,0.868,100000
2016-01-25,-0.909,-4178.018,-262.5,-0.003,90737.85,0.868,-0.134,86559.832,0.866,100000
2016-01-26,-0.956,-4178.018,-4375.35,-0.051,86362.5,0.866,-0.178,82184.482,0.822,100000
2016-01-27,-0.949,-4178.018,87.15,0.001,86449.65,0.822,-0.177,82271.632,0.823,100000
2016-01-28,-0.957,-4178.018,-1662.15,-0.02,84787.5,0.823,-0.194,80609.482,0.806,100000
2016-01-29,-0.923,-4178.018,2712.15,0.034,87499.65,0.806,-0.167,83321.632,0.833,100000
2016-02-01,-0.923,-4178.018,-1749.3,-0.021,85750.35,0.833,-0.184,81572.332,0.816,100000
2016-02-02,-0.898,-4178.018,1312.5,0.016,87062.85,0.816,-0.171,82884.832,0.829,100000
2016-02-03,-0.903,-4178.018,-875.7,-0.011,86187.15,0.829,-0.18,82009.132,0.82,100000
2016-02-04,-0.882,-4178.018,875.7,0.011,87062.85,0.82,-0.171,82884.832,0.829,100000
2016-02-05,-0.879,-4178.018,-262.5,-0.003,86800.35,0.829,-0.174,82622.332,0.826,100000
2016-02-15,-0.824,-4178.018,-1138.2,-0.014,85662.15,0.826,-0.185,81484.132,0.815,100000
2016-02-16,-0.778,-4178.018,1925.7,0.024,87587.85,0.815,-0.166,83409.832,0.834,100000
2016-02-17,-0.742,-4178.018,1224.3,0.015,88812.15,0.834,-0.154,84634.132,0.846,100000
2016-02-18,-0.747,-4178.018,-525.0,-0.006,88287.15,0.846,-0.159,84109.132,0.841,100000
2016-02-19,-0.75,-4178.018,-436.8,-0.005,87850.35,0.841,-0.163,83672.332,0.837,100000
2016-02-22,-0.671,-4178.018,2187.15,0.026,90037.5,0.837,-0.141,85859.482,0.859,100000
2016-02-23,-0.704,-4178.018,-1488.9,-0.017,88548.6,0.859,-0.156,84370.582,0.844,100000
2016-02-24,-0.69,-4178.018,263.55,0.003,88812.15,0.844,-0.154,84634.132,0.846,100000
2016-02-25,-0.777,-4178.018,-4201.05,-0.05,84611.1,0.846,-0.196,80433.082,0.804,100000
2016-02-26,-0.749,-4178.018,1051.05,0.013,85662.15,0.804,-0.185,81484.132,0.815,100000
2016-02-29,-0.77,-4178.018,-2011.8,-0.025,83650.35,0.815,-0.205,79472.332,0.795,100000
2016-03-01,-0.741,-4178.018,1224.3,0.015,84874.65,0.795,-0.193,80696.632,0.807,100000
2016-03-02,-0.655,-4178.018,3500.7,0.043,88375.35,0.807,-0.158,84197.332,0.842,100000
2016-03-03,-0.647,-4178.018,87.15,0.001,88462.5,0.842,-0.157,84284.482,0.843,100000
2016-03-04,-0.571,-4178.018,2537.85,0.03,91000.35,0.843,-0.132,86822.332,0.868,100000
2016-03-07,-0.568,-4178.018,-525.0,-0.006,90475.35,0.868,-0.137,86297.332,0.863,100000
2016-03-08,-0.578,-4178.018,-525.0,-0.006,89950.35,0.863,-0.142,85772.332,0.858,100000
2016-03-09,-0.598,-4178.018,-962.85,-0.011,88987.5,0.858,-0.152,84809.482,0.848,100000
2016-03-10,-0.597,-4178.018,-175.35,-0.002,88812.15,0.848,-0.154,84634.132,0.846,100000
2016-03-11,-0.589,-4178.018,88.2,0.001,88900.35,0.846,-0.153,84722.332,0.847,100000
2016-03-14,-0.55,-4178.018,874.65,0.01,89775.0,0.847,-0.144,85596.982,0.856,100000
2016-03-15,-0.531,-4178.018,525.0,0.006,90300.0,0.856,-0.139,86121.982,0.861,100000
2016-03-16,-0.519,-4178.018,262.5,0.003,90562.5,0.861,-0.136,86384.482,0.864,100000
2016-03-17,-0.497,-4178.018,611.1,0.007,91173.6,0.864,-0.13,86995.582,0.87,100000
2016-03-18,-0.462,-4178.018,1051.05,0.012,92224.65,0.87,-0.12,88046.632,0.88,100000
2016-03-21,-0.379,-4178.018,2275.35,0.026,94500.0,0.88,-0.097,90321.982,0.903,100000
2016-03-22,-0.397,-4178.018,-701.4,-0.008,93798.6,0.903,-0.104,89620.582,0.896,100000
2016-03-23,-0.399,-4178.018,-173.25,-0.002,93625.35,0.896,-0.106,89447.332,0.894,100000
2016-03-24,-0.442,-4178.018,-1575.0,-0.018,92050.35,0.894,-0.121,87872.332,0.879,100000
2016-03-25,-0.42,-4178.018,612.15,0.007,92662.5,0.879,-0.115,88484.482,0.885,100000
2016-03-28,-0.436,-4178.018,-962.85,-0.011,91699.65,0.885,-0.125,87521.632,0.875,100000
2016-03-29,-0.444,-4178.018,-436.8,-0.005,91262.85,0.875,-0.129,87084.832,0.871,100000
2016-03-30,-0.374,-4178.018,2362.5,0.027,93625.35,0.871,-0.106,89447.332,0.894,100000
2016-03-31,-0.386,-4178.018,-525.0,-0.006,93100.35,0.894,-0.111,88922.332,0.889,100000
2016-04-01,-0.377,-4178.018,174.3,0.002,93274.65,0.889,-0.109,89096.632,0.891,100000
2016-04-05,-0.354,-4178.018,350.7,0.004,93625.35,0.891,-0.106,89447.332,0.894,100000
2016-04-06,-0.347,-4178.018,173.25,0.002,93798.6,0.894,-0.104,89620.582,0.896,100000
2016-04-07,-0.375,-4178.018,-1136.1,-0.013,92662.5,0.896,-0.115,88484.482,0.885,100000
2016-04-08,-0.377,-4178.018,-176.4,-0.002,92486.1,0.885,-0.117,88308.082,0.883,100000
2016-04-11,-0.332,-4178.018,1312.5,0.015,93798.6,0.883,-0.104,89620.582,0.896,100000
2016-04-12,-0.341,-4178.018,-435.75,-0.005,93362.85,0.896,-0.108,89184.832,0.892,100000
2016-04-13,-0.305,-4178.018,1224.3,0.014,94587.15,0.892,-0.096,90409.132,0.904,100000
2016-04-14,-0.296,-4178.018,262.5,0.003,94849.65,0.904,-0.093,90671.632,0.907,100000
2016-04-15,-0.283,-4178.018,350.7,0.004,95200.35,0.907,-0.09,91022.332,0.91,100000
2016-04-18,-0.312,-4178.018,-1312.5,-0.014,93887.85,0.91,-0.103,89709.832,0.897,100000
2016-04-19,-0.3,-4178.018,349.65,0.004,94237.5,0.897,-0.099,90059.482,0.901,100000
2016-04-20,-0.354,-4178.018,-2187.15,-0.024,92050.35,0.901,-0.121,87872.332,0.879,100000
2016-04-21,-0.354,-4178.018,-88.2,-0.001,91962.15,0.879,-0.122,87784.132,0.878,100000
2016-04-22,-0.342,-4178.018,350.7,0.004,92312.85,0.878,-0.119,88134.832,0.881,100000
2016-04-25,-0.346,-4178.018,-437.85,-0.005,91875.0,0.881,-0.123,87696.982,0.877,100000
2016-04-26,-0.324,-4178.018,787.5,0.009,92662.5,0.877,-0.115,88484.482,0.885,100000
2016-04-27,-0.326,-4178.018,-176.4,-0.002,92486.1,0.885,-0.117,88308.082,0.883,100000
