date,average_cost,avg_price,bought_quantity,bought_value,market_value,order_book_id,pnl,quantity,sellable,sold_quantity,sold_value,symbol,total_orders,total_trades,transaction_cost,value_percent
2016-01-04,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-05,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-06,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-07,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-08,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-11,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-12,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-13,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-14,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-15,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-18,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-19,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-20,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-21,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-22,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-25,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-26,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-27,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-28,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-01-29,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-01,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-02,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-03,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-04,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-05,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-15,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-16,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-17,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-18,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-19,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-22,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-23,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
2016-02-24,0.0,0.0,0,0.0,0.0,000001.XSHE,0.0,0,0,0,0,平安银行,0,0,0.0,0.0
