date,dividend_receivable,market_value,total_cash,total_value,transaction_cost
2016-01-04,0.0,0.0,100000.0,100000.0,0.0
2016-01-05,0.0,0.0,100000.0,100000.0,0.0
2016-01-06,0.0,0.0,100000.0,100000.0,0.0
2016-01-07,0.0,0.0,100000.0,100000.0,0.0
2016-01-08,0.0,0.0,100000.0,100000.0,0.0
2016-01-11,0.0,0.0,100000.0,100000.0,0.0
2016-01-12,0.0,0.0,100000.0,100000.0,0.0
2016-01-13,0.0,0.0,100000.0,100000.0,0.0
2016-01-14,0.0,0.0,100000.0,100000.0,0.0
2016-01-15,0.0,0.0,100000.0,100000.0,0.0
2016-01-18,0.0,0.0,100000.0,100000.0,0.0
2016-01-19,0.0,0.0,100000.0,100000.0,0.0
2016-01-20,0.0,0.0,100000.0,100000.0,0.0
2016-01-21,0.0,0.0,100000.0,100000.0,0.0
2016-01-22,0.0,0.0,100000.0,100000.0,0.0
2016-01-25,0.0,0.0,100000.0,100000.0,0.0
2016-01-26,0.0,0.0,100000.0,100000.0,0.0
2016-01-27,0.0,0.0,100000.0,100000.0,0.0
2016-01-28,0.0,0.0,100000.0,100000.0,0.0
2016-01-29,0.0,0.0,100000.0,100000.0,0.0
2016-02-01,0.0,0.0,100000.0,100000.0,0.0
2016-02-02,0.0,0.0,100000.0,100000.0,0.0
2016-02-03,0.0,0.0,100000.0,100000.0,0.0
2016-02-04,0.0,99500.4,-4559.0,94941.4,83.58
2016-02-05,0.0,99200.4,-4559.0,94641.4,83.58
2016-02-15,0.0,97899.6,-4559.0,93340.6,83.58
2016-02-16,0.0,100100.4,-4559.0,95541.4,83.58
2016-02-17,0.0,101499.6,-4559.0,96940.6,83.58
2016-02-18,0.0,100899.6,-4559.0,96340.6,83.58
2016-02-19,0.0,100400.4,-4559.0,95841.4,83.58
2016-02-22,0.0,102900.0,-4559.0,98341.0,83.58
2016-02-23,0.0,101198.4,-4559.0,96639.4,83.58
2016-02-24,0.0,101499.6,-4559.0,96940.6,83.58
2016-02-25,0.0,96698.4,-4559.0,92139.4,83.58
2016-02-26,0.0,97899.6,-4559.0,93340.6,83.58
2016-02-29,0.0,95600.4,-4559.0,91041.4,83.58
2016-03-01,0.0,96999.6,-4559.0,92440.6,83.58
2016-03-02,0.0,101000.4,-4559.0,96441.4,83.58
2016-03-03,0.0,101100.0,-4559.0,96541.0,83.58
2016-03-04,0.0,104000.4,-4559.0,99441.4,83.58
2016-03-07,0.0,103400.4,-4559.0,98841.4,83.58
2016-03-08,0.0,102800.4,-4559.0,98241.4,83.58
2016-03-09,0.0,101700.0,-4559.0,97141.0,83.58
2016-03-10,0.0,101499.6,-4559.0,96940.6,83.58
2016-03-11,0.0,101600.4,-4559.0,97041.4,83.58
2016-03-14,0.0,102600.0,-4559.0,98041.0,83.58
2016-03-15,0.0,103200.0,-4559.0,98641.0,83.58
2016-03-16,0.0,103500.0,-4559.0,98941.0,83.58
2016-03-17,0.0,104198.4,-4559.0,99639.4,83.58
2016-03-18,0.0,105399.6,-4559.0,100840.6,83.58
2016-03-21,0.0,108000.0,-4559.0,103441.0,83.58
2016-03-22,0.0,107198.4,-4559.0,102639.4,83.58
2016-03-23,0.0,107000.4,-4559.0,102441.4,83.58
2016-03-24,0.0,105200.4,-4559.0,100641.4,83.58
2016-03-25,0.0,105900.0,-4559.0,101341.0,83.58
2016-03-28,0.0,104799.6,-4559.0,100240.6,83.58
2016-03-29,0.0,104300.4,-4559.0,99741.4,83.58
2016-03-30,0.0,107000.4,-4559.0,102441.4,83.58
