date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2016-01-04,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-05,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-06,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-07,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-08,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-11,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-12,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-13,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-14,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-15,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-18,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-19,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-20,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-21,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-22,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-25,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-26,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-27,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-28,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-01-29,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-02-01,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-02-02,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-02-03,0.0,100000.0,0.0,0.0,0.0,1.0,0.0,100000.0,1.0,100000
2016-02-04,-0.447,-4559.0,-5058.6,-0.051,99500.4,1.0,-0.051,94941.4,0.949,100000
2016-02-05,-0.456,-4559.0,-300.0,-0.003,99200.4,0.949,-0.054,94641.4,0.946,100000
2016-02-15,-0.443,-4559.0,-1300.8,-0.014,97899.6,0.946,-0.067,93340.6,0.933,100000
2016-02-16,-0.315,-4559.0,2200.8,0.024,100100.4,0.933,-0.045,95541.4,0.955,100000
2016-02-17,-0.223,-4559.0,1399.2,0.015,101499.6,0.955,-0.031,96940.6,0.969,100000
2016-02-18,-0.256,-4559.0,-600.0,-0.006,100899.6,0.969,-0.037,96340.6,0.963,100000
2016-02-19,-0.281,-4559.0,-499.2,-0.005,100400.4,0.963,-0.042,95841.4,0.958,100000
2016-02-22,-0.115,-4559.0,2499.6,0.026,102900.0,0.958,-0.017,98341.0,0.983,100000
2016-02-23,-0.217,-4559.0,-1701.6,-0.017,101198.4,0.983,-0.034,96639.4,0.966,100000
2016-02-24,-0.196,-4559.0,301.2,0.003,101499.6,0.966,-0.031,96940.6,0.969,100000
2016-02-25,-0.431,-4559.0,-4801.2,-0.05,96698.4,0.969,-0.079,92139.4,0.921,100000
2016-02-26,-0.372,-4559.0,1201.2,0.013,97899.6,0.921,-0.067,93340.6,0.933,100000
2016-02-29,-0.452,-4559.0,-2299.2,-0.025,95600.4,0.933,-0.09,91041.4,0.91,100000
2016-03-01,-0.39,-4559.0,1399.2,0.015,96999.6,0.91,-0.076,92440.6,0.924,100000
2016-03-02,-0.201,-4559.0,4000.8,0.043,101000.4,0.924,-0.036,96441.4,0.964,100000
2016-03-03,-0.193,-4559.0,99.6,0.001,101100.0,0.964,-0.035,96541.0,0.965,100000
2016-03-04,-0.033,-4559.0,2900.4,0.03,104000.4,0.965,-0.006,99441.4,0.994,100000
2016-03-07,-0.064,-4559.0,-600.0,-0.006,103400.4,0.994,-0.012,98841.4,0.988,100000
2016-03-08,-0.095,-4559.0,-600.0,-0.006,102800.4,0.988,-0.018,98241.4,0.982,100000
2016-03-09,-0.148,-4559.0,-1100.4,-0.011,101700.0,0.982,-0.029,97141.0,0.971,100000
2016-03-10,-0.156,-4559.0,-200.4,-0.002,101499.6,0.971,-0.031,96940.6,0.969,100000
2016-03-11,-0.149,-4559.0,100.8,0.001,101600.4,0.969,-0.03,97041.4,0.97,100000
2016-03-14,-0.097,-4559.0,999.6,0.01,102600.0,0.97,-0.02,98041.0,0.98,100000
2016-03-15,-0.067,-4559.0,600.0,0.006,103200.0,0.98,-0.014,98641.0,0.986,100000
2016-03-16,-0.052,-4559.0,300.0,0.003,103500.0,0.986,-0.011,98941.0,0.989,100000
