date,dividend_receivable,market_value,total_cash,total_value,transaction_cost
2016-01-04,0.0,29799.0,68686.019,98485.019,25.031
2016-01-05,0.0,50180.0,47187.934,97367.934,42.216
2016-01-06,0.0,50570.0,47187.934,97757.934,42.216
2016-01-07,0.0,63293.0,32452.005,95745.005,53.995
2016-01-08,0.0,72960.0,22469.025,95429.025,61.975
2016-01-11,0.0,84035.69,7800.278,91835.968,77.248
2016-01-12,0.0,87690.43,3393.495,91083.925,92.248
2016-01-13,0.0,88027.0,1694.57,89721.57,102.248
2016-01-14,0.0,88687.0,1312.62,89999.62,107.248
2016-01-15,0.0,86280.7,942.22,87222.92,112.248
2016-01-18,0.0,85785.0,942.22,86727.22,112.248
2016-01-19,0.0,87698.0,942.22,88640.22,112.248
2016-01-20,0.0,86294.3,942.22,87236.52,112.248
2016-01-21,0.0,85079.0,942.22,86021.22,112.248
2016-01-22,0.0,85583.7,942.22,86525.92,112.248
2016-01-25,0.0,85493.7,942.22,86435.92,112.248
2016-01-26,0.0,80641.0,942.22,81583.22,112.248
2016-01-27,0.0,80303.3,942.22,81245.52,112.248
2016-01-28,0.0,78743.0,942.22,79685.22,112.248
2016-01-29,0.0,80395.3,942.22,81337.52,112.248
2016-02-01,0.0,79239.7,942.22,80181.92,112.248
2016-02-02,0.0,80075.7,942.22,81017.92,112.248
2016-02-03,0.0,79417.3,942.22,80359.52,112.248
2016-02-04,0.0,79882.7,942.22,80824.92,112.248
2016-02-05,0.0,79740.7,942.22,80682.92,112.248
2016-02-15,0.0,78555.3,942.22,79497.52,112.248
2016-02-16,0.0,81028.7,942.22,81970.92,112.248
2016-02-17,0.0,81554.3,942.22,82496.52,112.248
2016-02-18,0.0,81247.3,942.22,82189.52,112.248
2016-02-19,0.0,81008.7,942.22,81950.92,112.248
2016-02-22,0.0,82772.0,942.22,83714.22,112.248
2016-02-23,0.0,81477.2,942.22,82419.42,112.248
2016-02-24,0.0,81498.3,942.22,82440.52,112.248
2016-02-25,0.0,78342.2,942.22,79284.42,112.248
2016-02-26,0.0,78905.3,942.22,79847.52,112.248
2016-02-29,0.0,78955.7,942.22,79897.92,112.248
2016-03-01,0.0,79759.26,942.22,80701.48,112.248
2016-03-02,0.0,81524.57,942.22,82466.79,112.248
2016-03-03,0.0,82129.0,942.22,83071.22,112.248
2016-03-04,0.0,84782.7,942.22,85724.92,112.248
2016-03-07,0.0,84603.7,942.22,85545.92,112.248
2016-03-08,0.0,84838.7,942.22,85780.92,112.248
