date,avg_price,last_price,market_value,order_book_id,quantity,sellable,symbol
2016-01-04,4.064,3.87,29799.0,601988.XSHG,7700,7700,中国银行
2016-01-05,4.059,3.86,50180.0,601988.XSHG,13000,13000,中国银行
2016-01-06,4.059,3.89,50570.0,601988.XSHG,13000,13000,中国银行
2016-01-07,4.042,3.79,63293.0,601988.XSHG,16700,16700,中国银行
2016-01-08,4.035,3.8,72960.0,601988.XSHG,19200,19200,中国银行
2016-01-11,9.415,8.967,6276.69,000001.XSHE,700,700,平安银行
2016-01-11,4.022,3.65,74825.0,601988.XSHG,20500,20500,中国银行
2016-01-11,10.269,9.78,2934.0,000068.XSHE,300,300,华控赛格
2016-01-12,9.425,9.008,8107.47,000001.XSHE,900,900,平安银行
2016-01-12,4.018,3.63,75867.0,601988.XSHG,20900,20900,中国银行
2016-01-12,10.14,9.29,3715.96,000068.XSHE,400,400,华控赛格
2016-01-13,9.419,8.925,8925.0,000001.XSHE,1000,1000,平安银行
2016-01-13,4.016,3.58,75538.0,601988.XSHG,21100,21100,中国银行
2016-01-13,10.14,8.91,3564.0,000068.XSHE,400,400,华控赛格
2016-01-14,9.419,8.975,8975.0,000001.XSHE,1000,1000,平安银行
2016-01-14,4.014,3.59,76108.0,601988.XSHG,21200,21200,中国银行
2016-01-14,10.14,9.01,3604.0,000068.XSHE,400,400,华控赛格
2016-01-15,9.419,8.717,8716.7,000001.XSHE,1000,1000,平安银行
2016-01-15,4.013,3.48,74124.0,601988.XSHG,21300,21300,中国银行
2016-01-15,10.14,8.6,3440.0,000068.XSHE,400,400,华控赛格
2016-01-18,9.419,8.675,8675.0,000001.XSHE,1000,1000,平安银行
2016-01-18,4.013,3.46,73698.0,601988.XSHG,21300,21300,中国银行
2016-01-18,10.14,8.53,3412.0,000068.XSHE,400,400,华控赛格
2016-01-19,9.419,8.925,8925.0,000001.XSHE,1000,1000,平安银行
2016-01-19,4.013,3.53,75189.0,601988.XSHG,21300,21300,中国银行
2016-01-19,10.14,8.96,3584.0,000068.XSHE,400,400,华控赛格
2016-01-20,9.419,8.783,8783.3,000001.XSHE,1000,1000,平安银行
