alpha,-0.251
annualized_returns,-0.194
benchmark_annualized_returns,-0.045
benchmark_total_returns,-0.045
beta,0.643
cash,1241.005
downside_risk,0.11
end_date,2016-12-30
future_starting_cash,0
information_ratio,-1.115
max_drawdown,0.195
run_type,BACKTEST
securities,[u'stock']
sharpe,-1.173
sortino,-2.003
start_date,2016-01-04
stock_starting_cash,100000
strategy_file,/home/vinson/Downloads/InplusTrader-master/InplusTrader/stockBacktest/strategy/rsi.py
strategy_name,rsi
total_returns,-0.193
total_value,80715.005
tracking_error,0.154
unit_net_value,0.807
units,100000
volatility,0.188
