date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2016-01-04,-0.996,68686.019,-1514.981,-0.015,29799.0,1.0,-0.015,98485.019,0.985,100000
2016-01-05,-0.992,47187.934,-1117.085,-0.011,50180.0,0.985,-0.026,97367.934,0.974,100000
2016-01-06,-0.937,47187.934,390.0,0.004,50570.0,0.974,-0.022,97757.934,0.978,100000
2016-01-07,-0.981,32452.005,-2012.929,-0.021,63293.0,0.978,-0.043,95745.005,0.957,100000
2016-01-08,-0.967,22469.025,-315.98,-0.003,72960.0,0.957,-0.046,95429.025,0.954,100000
2016-01-11,-0.979,7800.278,-3593.057,-0.038,84035.69,0.954,-0.082,91835.968,0.918,100000
2016-01-12,-0.977,3393.495,-752.042,-0.008,87690.43,0.918,-0.089,91083.925,0.911,100000
2016-01-13,-0.981,1694.57,-1362.355,-0.015,88027.0,0.911,-0.103,89721.57,0.897,100000
2016-01-14,-0.97,1312.62,278.05,0.003,88687.0,0.897,-0.1,89999.62,0.9,100000
2016-01-15,-0.984,942.22,-2776.7,-0.031,86280.7,0.9,-0.128,87222.92,0.872,100000
2016-01-18,-0.969,942.22,-495.7,-0.006,85785.0,0.872,-0.133,86727.22,0.867,100000
2016-01-19,-0.936,942.22,1913.0,0.022,87698.0,0.867,-0.114,88640.22,0.886,100000
2016-01-20,-0.947,942.22,-1403.7,-0.016,86294.3,0.886,-0.128,87236.52,0.872,100000
2016-01-21,-0.953,942.22,-1215.3,-0.014,85079.0,0.872,-0.14,86021.22,0.86,100000
2016-01-22,-0.938,942.22,504.7,0.006,85583.7,0.86,-0.135,86525.92,0.865,100000
2016-01-25,-0.911,942.22,-90.0,-0.001,85493.7,0.865,-0.136,86435.92,0.864,100000
2016-01-26,-0.96,942.22,-4852.7,-0.056,80641.0,0.864,-0.184,81583.22,0.816,100000
2016-01-27,-0.958,942.22,-337.7,-0.004,80303.3,0.816,-0.188,81245.52,0.812,100000
2016-01-28,-0.964,942.22,-1560.3,-0.019,78743.0,0.812,-0.203,79685.22,0.797,100000
2016-01-29,-0.945,942.22,1652.3,0.021,80395.3,0.797,-0.187,81337.52,0.813,100000
2016-02-01,-0.938,942.22,-1155.6,-0.014,79239.7,0.813,-0.198,80181.92,0.802,100000
2016-02-02,-0.923,942.22,836.0,0.01,80075.7,0.802,-0.19,81017.92,0.81,100000
2016-02-03,-0.924,942.22,-658.4,-0.008,79417.3,0.81,-0.196,80359.52,0.804,100000
2016-02-04,-0.912,942.22,465.4,0.006,79882.7,0.804,-0.192,80824.92,0.808,100000
2016-02-05,-0.907,942.22,-142.0,-0.002,79740.7,0.808,-0.193,80682.92,0.807,100000
2016-02-15,-0.857,942.22,-1185.4,-0.015,78555.3,0.807,-0.205,79497.52,0.795,100000
2016-02-16,-0.808,942.22,2473.4,0.031,81028.7,0.795,-0.18,81970.92,0.82,100000
2016-02-17,-0.79,942.22,525.6,0.006,81554.3,0.82,-0.175,82496.52,0.825,100000
2016-02-18,-0.789,942.22,-307.0,-0.004,81247.3,0.825,-0.178,82189.52,0.822,100000
2016-02-19,-0.787,942.22,-238.6,-0.003,81008.7,0.822,-0.18,81950.92,0.82,100000
2016-02-22,-0.727,942.22,1763.3,0.022,82772.0,0.82,-0.163,83714.22,0.837,100000
2016-02-23,-0.749,942.22,-1294.8,-0.015,81477.2,0.837,-0.176,82419.42,0.824,100000
2016-02-24,-0.742,942.22,21.1,0.0,81498.3,0.824,-0.176,82440.52,0.824,100000
2016-02-25,-0.798,942.22,-3156.1,-0.038,78342.2,0.824,-0.207,79284.42,0.793,100000
2016-02-26,-0.782,942.22,563.1,0.007,78905.3,0.793,-0.202,79847.52,0.798,100000
2016-02-29,-0.762,942.22,50.4,0.001,78955.7,0.798,-0.201,79897.92,0.799,100000
2016-03-01,-0.741,942.22,803.56,0.01,79759.26,0.799,-0.193,80701.48,0.807,100000
2016-03-02,-0.697,942.22,1765.31,0.022,81524.57,0.807,-0.175,82466.79,0.825,100000
2016-03-03,-0.676,942.22,604.43,0.007,82129.0,0.825,-0.169,83071.22,0.831,100000
2016-03-04,-0.602,942.22,2653.7,0.032,84782.7,0.831,-0.143,85724.92,0.857,100000
2016-03-07,-0.589,942.22,-179.0,-0.002,84603.7,0.857,-0.145,85545.92,0.855,100000
2016-03-08,-0.577,942.22,235.0,0.003,84838.7,0.855,-0.142,85780.92,0.858,100000
2016-03-09,-0.559,942.22,443.26,0.005,85281.96,0.858,-0.138,86224.18,0.862,100000
2016-03-10,-0.604,942.22,-1844.66,-0.021,83437.3,0.862,-0.156,84379.52,0.844,100000
2016-03-11,-0.571,942.22,1049.4,0.012,84486.7,0.844,-0.146,85428.92,0.854,100000
2016-03-14,-0.548,942.22,263.3,0.003,84750.0,0.854,-0.143,85692.22,0.857,100000
2016-03-15,-0.554,942.22,-416.0,-0.005,84334.0,0.857,-0.147,85276.22,0.853,100000
2016-03-16,-0.511,942.22,1391.0,0.016,85725.0,0.853,-0.133,86667.22,0.867,100000
2016-03-17,-0.51,942.22,-118.8,-0.001,85606.2,0.867,-0.135,86548.42,0.865,100000
2016-03-18,-0.5,942.22,168.1,0.002,85774.3,0.865,-0.133,86716.52,0.867,100000
2016-03-21,-0.479,942.22,284.7,0.003,86059.0,0.867,-0.13,87001.22,0.87,100000
2016-03-22,-0.496,942.22,-773.8,-0.009,85285.2,0.87,-0.138,86227.42,0.862,100000
2016-03-23,-0.497,942.22,-205.5,-0.002,85079.7,0.862,-0.14,86021.92,0.86,100000
2016-03-24,-0.517,942.22,-954.0,-0.011,84125.7,0.86,-0.149,85067.92,0.851,100000
2016-03-25,-0.502,942.22,435.3,0.005,84561.0,0.851,-0.145,85503.22,0.855,100000
2016-03-28,-0.497,942.22,-288.7,-0.003,84272.3,0.855,-0.148,85214.52,0.852,100000
2016-03-29,-0.503,942.22,-386.6,-0.005,83885.7,0.852,-0.152,84827.92,0.848,100000
2016-03-30,-0.455,942.22,1691.0,0.02,85576.7,0.848,-0.135,86518.92,0.865,100000
2016-03-31,-0.456,942.22,-154.0,-0.002,85422.7,0.865,-0.136,86364.92,0.864,100000
2016-04-01,-0.444,942.22,281.6,0.003,85704.3,0.864,-0.134,86646.52,0.866,100000
2016-04-05,-0.418,942.22,463.4,0.005,86167.7,0.866,-0.129,87109.92,0.871,100000
2016-04-06,-0.419,942.22,-152.5,-0.002,86015.2,0.871,-0.13,86957.42,0.87,100000
2016-04-07,-0.443,942.22,-1076.2,-0.012,84939.0,0.87,-0.141,85881.22,0.859,100000
2016-04-08,-0.449,942.22,-410.8,-0.005,84528.2,0.859,-0.145,85470.42,0.855,100000
2016-04-11,-0.421,942.22,764.0,0.009,85292.2,0.855,-0.138,86234.42,0.862,100000
2016-04-12,-0.409,942.22,354.46,0.004,85646.66,0.862,-0.134,86588.88,0.866,100000
2016-04-13,-0.389,942.22,667.64,0.008,86314.3,0.866,-0.127,87256.52,0.873,100000
2016-04-14,-0.386,942.22,-15.0,-0.0,86299.3,0.873,-0.128,87241.52,0.872,100000
2016-04-15,-0.382,942.22,45.4,0.001,86344.7,0.872,-0.127,87286.92,0.873,100000
2016-04-18,-0.398,942.22,-992.0,-0.011,85352.7,0.873,-0.137,86294.92,0.863,100000
2016-04-19,-0.401,942.22,-239.7,-0.003,85113.0,0.863,-0.139,86055.22,0.861,100000
2016-04-20,-0.42,942.22,-934.3,-0.011,84178.7,0.861,-0.149,85120.92,0.851,100000
2016-04-21,-0.43,942.22,-582.4,-0.007,83596.3,0.851,-0.155,84538.52,0.845,100000
