datetime,commission,exec_id,last_price,last_quantity,order_book_id,order_id,position_effect,side,symbol,tax,trading_datetime,transaction_cost
2016-01-04 15:00:00,25.03116,1492237658,4.064,7700,601988.XSHG,1492237644,,BUY,中国银行,0.0,2016-01-04 15:00:00,25.03116
2016-01-05 15:00:00,17.18472,1492237659,4.053,5300,601988.XSHG,1492237645,,BUY,中国银行,0.0,2016-01-05 15:00:00,17.18472
2016-01-07 15:00:00,11.77932,1492237660,3.979,3700,601988.XSHG,1492237646,,BUY,中国银行,0.0,2016-01-07 15:00:00,11.77932
2016-01-08 15:00:00,7.98,1492237661,3.99,2500,601988.XSHG,1492237647,,BUY,中国银行,0.0,2016-01-08 15:00:00,7.98
2016-01-11 15:00:00,5.2724196,1492237662,9.415,700,000001.XSHE,1492237648,,BUY,平安银行,0.0,2016-01-11 15:00:00,5.2724196
2016-01-11 15:00:00,5.0,1492237663,3.833,1300,601988.XSHG,1492237649,,BUY,中国银行,0.0,2016-01-11 15:00:00,5.0
2016-01-11 15:00:00,5.0,1492237664,10.269,300,000068.XSHE,1492237650,,BUY,华控赛格,0.0,2016-01-11 15:00:00,5.0
2016-01-12 15:00:00,5.0,1492237665,9.459,200,000001.XSHE,1492237651,,BUY,平安银行,0.0,2016-01-12 15:00:00,5.0
2016-01-12 15:00:00,5.0,1492237666,3.811,400,601988.XSHG,1492237652,,BUY,中国银行,0.0,2016-01-12 15:00:00,5.0
2016-01-12 15:00:00,5.0,1492237667,9.754,100,000068.XSHE,1492237653,,BUY,华控赛格,0.0,2016-01-12 15:00:00,5.0
2016-01-13 15:00:00,5.0,1492237668,9.371,100,000001.XSHE,1492237654,,BUY,平安银行,0.0,2016-01-13 15:00:00,5.0
2016-01-13 15:00:00,5.0,1492237669,3.759,200,601988.XSHG,1492237655,,BUY,中国银行,0.0,2016-01-13 15:00:00,5.0
2016-01-14 15:00:00,5.0,1492237670,3.769,100,601988.XSHG,1492237656,,BUY,中国银行,0.0,2016-01-14 15:00:00,5.0
2016-01-15 15:00:00,5.0,1492237671,3.654,100,601988.XSHG,1492237657,,BUY,中国银行,0.0,2016-01-15 15:00:00,5.0
2016-06-24 15:00:00,5.0,1492237672,3.318,400,601988.XSHG,1492237658,,BUY,中国银行,0.0,2016-06-24 15:00:00,5.0
2016-06-24 15:00:00,5.0,1492237673,9.828,100,000068.XSHE,1492237659,,BUY,华控赛格,0.0,2016-06-24 15:00:00,5.0
2016-09-12 15:00:00,5.0,1492237674,3.549,200,601988.XSHG,1492237660,,BUY,中国银行,0.0,2016-09-12 15:00:00,5.0
2016-09-13 15:00:00,5.0,1492237675,3.549,100,601988.XSHG,1492237661,,BUY,中国银行,0.0,2016-09-13 15:00:00,5.0
2016-09-14 15:00:00,5.0,1492237676,3.507,100,601988.XSHG,1492237662,,BUY,中国银行,0.0,2016-09-14 15:00:00,5.0
2016-11-29 15:00:00,7.311124,1492237677,9.139,1000,000001.XSHE,1492237663,,SELL,平安银行,9.138905,2016-11-29 15:00:00,16.450029
2016-11-29 15:00:00,59.79376,1492237678,3.382,22100,601988.XSHG,1492237664,,SELL,中国银行,74.7422,2016-11-29 15:00:00,134.53596
2016-12-05 15:00:00,20.88576,1492237679,9.324,2800,000068.XSHE,1492237665,,BUY,华控赛格,0.0,2016-12-05 15:00:00,20.88576
2016-12-06 15:00:00,14.2842,1492237680,9.397,1900,000068.XSHE,1492237666,,BUY,华控赛格,0.0,2016-12-06 15:00:00,14.2842
2016-12-08 15:00:00,9.75156,1492237681,9.377,1300,000068.XSHE,1492237667,,BUY,华控赛格,0.0,2016-12-08 15:00:00,9.75156
2016-12-09 15:00:00,6.71328,1492237682,9.324,900,000068.XSHE,1492237668,,BUY,华控赛格,0.0,2016-12-09 15:00:00,6.71328
2016-12-12 15:00:00,5.0,1492237683,8.809,700,000068.XSHE,1492237669,,BUY,华控赛格,0.0,2016-12-12 15:00:00,5.0
2016-12-13 15:00:00,5.0,1492237684,8.809,500,000068.XSHE,1492237670,,BUY,华控赛格,0.0,2016-12-13 15:00:00,5.0
2016-12-14 15:00:00,5.0,1492237685,8.631,300,000068.XSHE,1492237671,,BUY,华控赛格,0.0,2016-12-14 15:00:00,5.0
2016-12-15 15:00:00,5.0,1492237686,9.713,200,000001.XSHE,1492237672,,BUY,平安银行,0.0,2016-12-15 15:00:00,5.0
2016-12-15 15:00:00,5.0,1492237687,8.662,100,000068.XSHE,1492237673,,BUY,华控赛格,0.0,2016-12-15 15:00:00,5.0
2016-12-16 15:00:00,5.0,1492237688,9.713,100,000001.XSHE,1492237674,,BUY,平安银行,0.0,2016-12-16 15:00:00,5.0
2016-12-16 15:00:00,5.0,1492237689,8.757,100,000068.XSHE,1492237675,,BUY,华控赛格,0.0,2016-12-16 15:00:00,5.0
2016-12-29 15:00:00,5.0,1492237690,3.591,200,601988.XSHG,1492237676,,BUY,中国银行,0.0,2016-12-29 15:00:00,5.0
2016-12-30 15:00:00,5.0,1492237691,3.612,100,601988.XSHG,1492237677,,BUY,中国银行,0.0,2016-12-30 15:00:00,5.0
