date,annualized_returns,cash,daily_pnl,daily_returns,market_value,static_unit_net_value,total_returns,total_value,unit_net_value,units
2013-01-04,-1.0,52250.482,-2310.138,-0.023,45439.38,1.0,-0.023,97689.862,0.977,100000
2013-01-07,-0.856,52250.482,208.26,0.002,45647.64,0.977,-0.021,97898.122,0.979,100000
2013-01-08,-0.816,52250.482,-191.7,-0.002,45455.94,0.979,-0.023,97706.422,0.977,100000
2013-01-09,-0.754,52250.482,14.4,0.0,45470.34,0.977,-0.023,97720.822,0.977,100000
2013-01-10,-0.686,52250.482,79.92,0.001,45550.26,0.977,-0.022,97800.742,0.978,100000
2013-01-11,-0.757,52250.482,-852.12,-0.009,44698.14,0.978,-0.031,96948.622,0.969,100000
2013-01-14,-0.363,52250.482,1700.82,0.018,46398.96,0.969,-0.014,98649.442,0.986,100000
2013-01-15,-0.269,52250.482,326.52,0.003,46725.48,0.986,-0.01,98975.962,0.99,100000
2013-01-16,-0.32,52250.482,-337.86,-0.003,46387.62,0.99,-0.014,98638.102,0.986,100000
2013-01-17,-0.377,52250.482,-437.94,-0.004,45949.68,0.986,-0.018,98200.162,0.982,100000
2013-01-18,-0.223,52250.482,768.24,0.008,46717.92,0.982,-0.01,98968.402,0.99,100000
2013-01-21,-0.142,52250.482,278.28,0.003,46996.2,0.99,-0.008,99246.682,0.992,100000
2013-01-22,-0.176,52250.482,-252.0,-0.003,46744.2,0.992,-0.01,98994.682,0.99,100000
2013-01-23,-0.139,52250.482,190.08,0.002,46934.28,0.99,-0.008,99184.762,0.992,100000
2013-01-24,-0.198,52250.482,-444.6,-0.004,46489.68,0.992,-0.013,98740.162,0.987,100000
2013-01-25,-0.216,52250.482,-199.62,-0.002,46290.06,0.987,-0.015,98540.542,0.985,100000
2013-01-28,-0.002,52250.482,1443.42,0.015,47733.48,0.985,-0.0,99983.962,1.0,100000
2013-01-29,0.06,52250.482,432.18,0.004,48165.66,1.0,0.004,100416.142,1.004,100000
2013-01-30,0.091,52250.482,231.12,0.002,48396.78,1.004,0.006,100647.262,1.006,100000
2013-01-31,0.083,52250.482,-32.94,-0.0,48363.84,1.006,0.006,100614.322,1.006,100000
2013-02-01,0.226,52250.482,1015.92,0.01,49379.76,1.006,0.016,101630.242,1.016,100000
2013-02-04,0.214,52250.482,84.78,0.001,49464.54,1.016,0.017,101715.022,1.017,100000
2013-02-05,0.264,52250.482,425.7,0.004,49890.24,1.017,0.021,102140.722,1.021,100000
2013-02-06,0.265,52250.482,74.88,0.001,49965.12,1.021,0.022,102215.602,1.022,100000
